start_t,stop_t,server_id,player_a,player_b,key,meta,count
40320,40321, 506ae0a41dbf9dc361000005, 01c1fbf7a1e8fa406a5e6b809141b856e09217fc, dd76e3ee2164f08a6dfe99e3bc155bbb4ff7dc32, KilledBy, ,1
40320,40321, 506ae0a41dbf9dc361000005, 81c5bf570e8a043b7fe06e35d6c2cfa84172eafe, 1953af9c7e034d7a261d2b2352bc5aad8b93525f, KilledBy, ,1
40320,40321, 506ae0a41dbf9dc361000005, 81c5bf570e8a043b7fe06e35d6c2cfa84172eafe, 882b434b0d44452134bcd3653c6ae7590e34e739, KilledBy, ,1
40320,40321, 506ae0a41dbf9dc361000005, 81c5bf570e8a043b7fe06e35d6c2cfa84172eafe, de1735c1051d73e49e47f9f517c524a1f1e2af18, KilledBy, ,1
40320,40321, 506ae0a41dbf9dc361000005, 89c946ba45e86ed1779b155a15083b8a696c547e, bce9e512429c8aef4c053c5ddca3363851eb0d43, KilledBy, ,1
40320,40321, 506ae0a41dbf9dc361000005, 9b54e10c8d90c5afcf6cdfe27a4ff8916418a596, 62a0843003cdb91bd142cabd351829ea22b257f4, Chat, ,1
40320,40321, 506ae0a41dbf9dc361000005, b7dd9e5ab41f2a5cf7ccf188862e3f0e38b40a82, 1cab78e0279246b40926ff8ebabb93964a8b0a48, KilledBy, ,1
40320,40321, 506ae0a41dbf9dc361000005, b7dd9e5ab41f2a5cf7ccf188862e3f0e38b40a82, 7500b9a38f192a3756353e478913609563bf56bf, KilledBy, ,1
40320,40321, 506ae0a41dbf9dc361000005, b7dd9e5ab41f2a5cf7ccf188862e3f0e38b40a82, 87bc588f57c122fd5eedbc930922d02ec2917424, KilledBy, ,1
40320,40321, 506ae0a41dbf9dc361000005, b7dd9e5ab41f2a5cf7ccf188862e3f0e38b40a82, bce9e512429c8aef4c053c5ddca3363851eb0d43, KilledBy, ,1
40320,40321, 506ae0a41dbf9dc361000005, ecb3a009a9e41f270aba0a26400b7da91bddc17d, 84491daf13521ed0866dde1fbf615d2f167c7476, Chat, ,1
40320,40321, 506ae0a41dbf9dc361000005, f8d27571e810d5ec4d16f8decb4aed11d5ae74ae, b7dd9e5ab41f2a5cf7ccf188862e3f0e38b40a82, KilledBy, ,1
40320,40321, 50989f1b1dbf9d412a000004, 39a5bbb86c7f21bc29c295d1f571ed63ed8854ee, 5a615a44b08fe408d5f82548187407fb1bb95efb, KilledBy, ,1
40320,40321, 50989f1b1dbf9d412a000004, 5a615a44b08fe408d5f82548187407fb1bb95efb, 5942423bc45a823a9081be377cdb00aae9e6dedf, Chat, ,1
40320,40321, 50989f1b1dbf9d412a000004, 5a615a44b08fe408d5f82548187407fb1bb95efb, 5ae781995377fcb4d6052cd9cd537da886f14e14, KilledBy, ,1
40320,40321, 50989f1b1dbf9d412a000004, 616b988b89e406089f2f8b8b35930301b1873325, 5a615a44b08fe408d5f82548187407fb1bb95efb, Chat, ,1
40320,40321, 50989f1b1dbf9d412a000004, 616b988b89e406089f2f8b8b35930301b1873325, 969ebe3348e5b0b099211b933e2112e1a3a04734, Chat, ,2
40320,40321, 50989f1b1dbf9d412a000004, 616b988b89e406089f2f8b8b35930301b1873325, d2efb2b5cb2c5b93bdcef8c2a475e8f11ac8a201, Chat, ,1
40320,40321, 50989f1b1dbf9d412a000004, 9228a0d3fea1fc4d2aab481d9d4436b3125fdbc4, 5ae781995377fcb4d6052cd9cd537da886f14e14, KilledBy, ,1
40320,40321, 50989f1b1dbf9d412a000004, a3ca7d96036ef41364c547c32a39b2918e4eaadd, 5ae781995377fcb4d6052cd9cd537da886f14e14, KilledBy, ,1
40320,40321, 50989f1b1dbf9d412a000004, b5ca08df4da7835cc3d3220ad3dcc7b1e3fa7825, a00da0597317774f479dc38842fffc55e4fab667, KilledBy, ,1
40320,40321, 50989f1b1dbf9d412a000004, fafe300b2ce059c5f427afc7a0b5d287fcb48347, 616b988b89e406089f2f8b8b35930301b1873325, Chat, ,1
40320,40321, 50989f1b1dbf9d412a000004, fafe300b2ce059c5f427afc7a0b5d287fcb48347, 616b988b89e406089f2f8b8b35930301b1873325, KilledBy, ,1
40320,40321, 509fb8211dbf9d6b7e000004, 05413ac2793142042e121952672cd3ece3559b10, a2e352ae8511eb46d94fde915a0b578fe6d55522, KilledBy, ,1
